2025-03-08 19:42:17,164 INFO    Thread-127 (_run_job):3130 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-08 19:42:17,165 INFO    Thread-127 (_run_job):3130 [wandb_setup.py:_flush():67] Configure stats pid to 3130
2025-03-08 19:42:17,165 INFO    Thread-127 (_run_job):3130 [wandb_setup.py:_flush():67] Loading settings from /Users/karanagrawal/.config/wandb/settings
2025-03-08 19:42:17,165 INFO    Thread-127 (_run_job):3130 [wandb_setup.py:_flush():67] Loading settings from /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/settings
2025-03-08 19:42:17,165 INFO    Thread-127 (_run_job):3130 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-08 19:42:17,166 INFO    Thread-127 (_run_job):3130 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250308_194217-u6djdipt/logs/debug.log
2025-03-08 19:42:17,166 INFO    Thread-127 (_run_job):3130 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250308_194217-u6djdipt/logs/debug-internal.log
2025-03-08 19:42:17,166 INFO    Thread-127 (_run_job):3130 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x153a69b10>
2025-03-08 19:42:17,166 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():761] calling init triggers
2025-03-08 19:42:17,166 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'sigmoid', 'batch_size': 64, 'beta': 0.5, 'beta1': 0.999, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 10, 'epsilon': 1e-06, 'hidden_layer_sizes': 32, 'hidden_layers': 4, 'initialization': 'Xavier', 'learning_rate': 0.001, 'loss_function': 'cross_entropy', 'momentum': 0.9, 'optimizer': 'rmsprop', 'weight_decay': 0.0005, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-03-08 19:42:17,166 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():784] starting backend
2025-03-08 19:42:17,166 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():788] sending inform_init request
2025-03-08 19:42:17,169 INFO    Thread-127 (_run_job):3130 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-08 19:42:17,169 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():803] backend started and connected
2025-03-08 19:42:17,175 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'sigmoid', 'batch_size': 64, 'beta': 0.5, 'beta1': 0.999, 'beta2': 0.999, 'dataset': 'fashion_mnist', 'epochs': 10, 'epsilon': 1e-06, 'hidden_layer_sizes': 32, 'hidden_layers': 4, 'initialization': 'Xavier', 'learning_rate': 0.001, 'loss_function': 'cross_entropy', 'momentum': 0.9, 'optimizer': 'rmsprop', 'weight_decay': 0.0005, 'weight_init': 'xavier'}
2025-03-08 19:42:17,187 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-08 19:42:17,187 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-08 19:42:17,187 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():896] updated telemetry
2025-03-08 19:42:17,216 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-08 19:42:17,770 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():995] starting run threads in backend
2025-03-08 19:42:18,038 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_console_start():2377] atexit reg
2025-03-08 19:42:18,038 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-08 19:42:18,038 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-08 19:42:18,038 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-08 19:42:18,039 INFO    Thread-127 (_run_job):3130 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-08 19:42:49,800 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_finish():2112] finishing run cs24m021-iit-madras/DA6401_Assignment1/u6djdipt
2025-03-08 19:42:49,802 INFO    Thread-127 (_run_job):3130 [jupyter.py:save_history():458] not saving jupyter history
2025-03-08 19:42:49,802 INFO    Thread-127 (_run_job):3130 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-08 19:42:49,802 INFO    Thread-127 (_run_job):3130 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-08 19:42:49,802 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-08 19:42:49,802 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_restore():2324] restore
2025-03-08 19:42:49,802 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_restore():2330] restore done
2025-03-08 19:42:52,803 INFO    MsgRouterThr:3130 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-08 19:42:52,804 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-08 19:42:52,805 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-08 19:42:52,807 INFO    Thread-127 (_run_job):3130 [wandb_run.py:_footer_sync_info():3919] logging synced files
