2025-03-09 10:06:30,508 INFO    Thread-1118 (_run_job):9063 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_setup.py:_flush():67] Configure stats pid to 9063
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_setup.py:_flush():67] Loading settings from /Users/karanagrawal/.config/wandb/settings
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_setup.py:_flush():67] Loading settings from /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/settings
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250309_100630-m9utzmhx/logs/debug.log
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/karanagrawal/Desktop/Sem 2/DL/Assignment 1/wandb/run-20250309_100630-m9utzmhx/logs/debug-internal.log
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x16b4631d0>
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():761] calling init triggers
2025-03-09 10:06:30,509 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'tanh', 'batch_size': 32, 'dataset': 'fashion_mnist', 'epochs': 10, 'hidden_layer_sizes': 64, 'hidden_layers': 5, 'initialization': 'Xavier', 'learning_rate': 0.001, 'optimizer': 'rmsprop', 'weight_decay': 0}
config: {'_wandb': {}}
2025-03-09 10:06:30,510 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():784] starting backend
2025-03-09 10:06:30,510 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():788] sending inform_init request
2025-03-09 10:06:30,512 INFO    Thread-1118 (_run_job):9063 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-09 10:06:30,512 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():803] backend started and connected
2025-03-09 10:06:30,518 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'tanh', 'batch_size': 32, 'dataset': 'fashion_mnist', 'epochs': 10, 'hidden_layer_sizes': 64, 'hidden_layers': 5, 'initialization': 'Xavier', 'learning_rate': 0.001, 'optimizer': 'rmsprop', 'weight_decay': 0}
2025-03-09 10:06:30,524 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-03-09 10:06:30,525 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_label_probe_notebook():1214] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2025-03-09 10:06:30,525 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():896] updated telemetry
2025-03-09 10:06:30,566 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-09 10:06:31,007 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():995] starting run threads in backend
2025-03-09 10:06:31,392 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_console_start():2377] atexit reg
2025-03-09 10:06:31,393 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-09 10:06:31,393 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-09 10:06:31,393 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-09 10:06:31,394 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-09 10:07:19,759 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_finish():2112] finishing run cs24m021-iit-madras/DA6401_Assignment1/m9utzmhx
2025-03-09 10:07:19,760 INFO    Thread-1118 (_run_job):9063 [jupyter.py:save_history():458] not saving jupyter history
2025-03-09 10:07:19,760 INFO    Thread-1118 (_run_job):9063 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-03-09 10:07:19,760 INFO    Thread-1118 (_run_job):9063 [wandb_init.py:_jupyter_teardown():581] cleaning up jupyter logic
2025-03-09 10:07:19,760 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-09 10:07:19,760 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_restore():2324] restore
2025-03-09 10:07:19,760 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_restore():2330] restore done
2025-03-09 10:07:22,913 INFO    MsgRouterThr:9063 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-09 10:07:22,913 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-09 10:07:22,914 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-09 10:07:22,914 INFO    Thread-1118 (_run_job):9063 [wandb_run.py:_footer_sync_info():3919] logging synced files
